Equipo,Municipio,Sección,Sexo,Edad,Ocupación,"31. Si el día de hoy fueran las elecciones para elegir la presidencia municipal, ¿por cuál de los siguientes partidos votaría?","32. Si el día de hoy fueran las elecciones para elegir la presidencia municipal, ¿por cuál de los siguientes partidos NUNCA votaría?","33. Si el día de hoy fueran las elecciones para elegir la diputación por el distrito 12, ¿por cuál de los siguientes partidos votaría?","34. Si el día de hoy fueran las elecciones para elegir la diputación por el distrito 12, ¿por cuál de los siguientes partidos NUNCA votaría?",_Capturar ubicación GPS_latitude,_Capturar ubicación GPS_longitude,_id,_submitted_by
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Mujer,46,Trabajador/a,Ninguno,Ninguno,,,20.4811254,-103.5052086,115394,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Mujer,64,Trabajador/a,Aún no decide,Aún no decide,,,20.4800728,-103.5053341,115395,user140
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Mujer,65,Cuidado del hogar,MORENA,PRI,,,20.480137,-103.5055808,115396,user140
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Mujer,66,Trabajador/a,MORENA,PRI,,,20.4808658,-103.5046333,115397,user144
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Mujer,73,Cuidado del hogar,No contestó,No contestó,,,20.4812467,-103.5051277,115398,user144
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Hombre,65,Trabajador/a,MORENA,PRI,,,20.4811138,-103.5052348,115399,user91
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Mujer,61,Trabajador/a,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,,,20.5271596,-103.4029902,115400,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Mujer,44,Trabajador/a,Ninguno,Aún no decide,,,20.5275939,-103.4024526,115401,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Hombre,40,Trabajador/a,MORENA,PAN,,,20.5276427,-103.4022769,115402,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Mujer,35,Trabajador/a,MORENA,PARTIDO DEL TRABAJO,,,20.5272999,-103.4037229,115403,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Hombre,70,Jubilado/a – pensionado/a,MORENA,PRI,,,20.5272876,-103.4037047,115404,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Mujer,50,Cuidado del hogar,Aún no decide,Ninguno,,,20.5270577,-103.4037987,115405,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Hombre,64,Jubilado/a – pensionado/a,Aún no decide,MOVIMIENTO CIUDADANO,,,20.5272028,-103.4036638,115406,user141
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Hombre,33,Trabajador/a,No contestó,PRI,,,20.4804703,-103.5051993,115407,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Mujer,48,Cuidado del hogar,MOVIMIENTO CIUDADANO,MORENA,,,20.4799999,-103.5045648,115408,user140
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Hombre,66,Jubilado/a – pensionado/a,MORENA,PRI,,,20.5274605,-103.4033398,115409,user193
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Mujer,46,Trabajador/a,No contestó,No contestó,,,20.5272926,-103.4032541,115410,user193
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Hombre,41,Trabajador/a,PAN,MORENA,,,20.5268601,-103.4033594,115411,user193
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Hombre,36,Trabajador/a,MORENA,PRI,,,20.5291447,-103.4025851,115412,user141
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Mujer,21,Estudiante,Aún no decide,Aún no decide,,,20.4808987,-103.505587,115413,user91
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Mujer,35,Trabajador/a,Ninguno,PAN,,,20.4742445,-103.4490291,115414,user75
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Hombre,33,Trabajador/a,PARTIDO VERDE,PAN,,,20.4751667,-103.4491724,115415,user75
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Hombre,18,Trabajador/a,MOVIMIENTO CIUDADANO,PRI,,,20.4751738,-103.4491954,115416,user75
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Mujer,45,Trabajador/a,PAN,MOVIMIENTO CIUDADANO,,,20.475125,-103.449181,115417,user75
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Hombre,19,Trabajador/a,MORENA,PAN,,,20.52886,-103.4029338,115418,user141
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Hombre,68,Trabajador/a,MOVIMIENTO CIUDADANO,PAN,,,20.5275422,-103.4030181,115419,user79
EQUIPO 4,ZAPOPAN,3639,Hombre,30,Trabajador/a,MORENA,PRI,MORENA,PRI,20.6220872,-103.4637918,115420,user161
EQUIPO 4,ZAPOPAN,3639,Mujer,50,Trabajador/a,Aún no decide,Aún no decide,Aún no decide,Aún no decide,20.6220551,-103.4636501,115421,user161
EQUIPO 4,ZAPOPAN,3639,Mujer,46,Trabajador/a,MORENA,PRI,MORENA,PRI,20.6220935,-103.4633796,115422,user161
EQUIPO 4,ZAPOPAN,3639,Hombre,19,Trabajador/a,MOVIMIENTO CIUDADANO,PAN,MOVIMIENTO CIUDADANO,PAN,20.6218349,-103.4633936,115423,user161
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Mujer,42,Trabajador/a,Ninguno,Ninguno,,,20.4810757,-103.5051527,115424,user144
EQUIPO 4,ZAPOPAN,3639,Mujer,52,Desempleado,Ninguno,Ninguno,Ninguno,Ninguno,20.6220875,-103.4639371,115425,user98
EQUIPO 4,ZAPOPAN,3639,Mujer,45,Cuidado del hogar,MOVIMIENTO CIUDADANO,PRI,MOVIMIENTO CIUDADANO,PRI,20.6219504,-103.4641049,115426,user98
EQUIPO 4,ZAPOPAN,3639,Hombre,22,Trabajador/a,PAN,MORENA,PAN,MORENA,20.6219462,-103.4641093,115427,user98
EQUIPO 4,ZAPOPAN,3639,Hombre,28,Trabajador/a,PRI,MORENA,PRI,MORENA,20.6218909,-103.4641243,115428,user98
EQUIPO 4,ZAPOPAN,3639,Mujer,56,Cuidado del hogar,MOVIMIENTO CIUDADANO,PRI,MOVIMIENTO CIUDADANO,PRI,20.6215167,-103.4638527,115429,user136
EQUIPO 4,ZAPOPAN,3639,Mujer,45,Cuidado del hogar,PARTIDO DEL TRABAJO,MORENA,PARTIDO DEL TRABAJO,MORENA,20.6213515,-103.463023,115430,user136
EQUIPO 4,ZAPOPAN,3639,Mujer,57,Cuidado del hogar,PRI,MORENA,MOVIMIENTO CIUDADANO,PAN,20.6214426,-103.462992,115431,user136
EQUIPO 4,ZAPOPAN,3639,Mujer,75,Cuidado del hogar,PARTIDO VERDE,MORENA,PARTIDO DEL TRABAJO,MORENA,20.6214603,-103.4630047,115432,user136
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Mujer,18,Trabajador/a,PARTIDO DEL TRABAJO,MORENA,,,20.475211,-103.4495435,115433,user75
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Mujer,30,Cuidado del hogar,MOVIMIENTO CIUDADANO,PRI,,,20.4752051,-103.4497616,115434,user75
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Hombre,76,Jubilado/a – pensionado/a,MORENA,Ninguno,,,20.4740308,-103.4490635,115435,user137
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Mujer,74,Trabajador/a,Aún no decide,Ninguno,,,20.4753791,-103.4493079,115436,user137
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Mujer,35,Cuidado del hogar,Aún no decide,PARTIDO VERDE,,,20.4748401,-103.4500668,115437,user137
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Mujer,58,Cuidado del hogar,MORENA,PRI,,,20.4745627,-103.4501552,115438,user137
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Mujer,54,Cuidado del hogar,MOVIMIENTO CIUDADANO,PAN,,,20.4741237,-103.4501533,115439,user137
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Mujer,68,Cuidado del hogar,MORENA,MOVIMIENTO CIUDADANO,,,20.4743342,-103.4501634,115440,user137
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3469,Mujer,46,Cuidado del hogar,MOVIMIENTO CIUDADANO,MORENA,,,20.5169068,-103.3941179,115441,user79
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3469,Mujer,40,Cuidado del hogar,Aún no decide,Aún no decide,,,20.5169672,-103.3945421,115442,user79
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3469,Hombre,42,Trabajador/a,Ninguno,Ninguno,,,20.5168672,-103.3944933,115443,user79
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2442,Mujer,24,Trabajador/a,MOVIMIENTO CIUDADANO,PAN,,,20.4731221,-103.4492514,115444,user66
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2442,Hombre,24,Trabajador/a,MOVIMIENTO CIUDADANO,PAN,,,20.4731679,-103.4493236,115445,user66
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2442,Mujer,68,Trabajador/a,MOVIMIENTO CIUDADANO,No contestó,,,20.4723726,-103.4491918,115446,user66
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2442,Mujer,65,Cuidado del hogar,MORENA,PAN,,,20.4715904,-103.4494545,115447,user66
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2442,Mujer,60,Cuidado del hogar,Aún no decide,No contestó,,,20.471076,-103.4482611,115448,user66
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2442,Mujer,64,Cuidado del hogar,MORENA,PAN,,,20.4707742,-103.4487252,115449,user66
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2442,Mujer,20,Trabajador/a,MOVIMIENTO CIUDADANO,PAN,,,20.4744987,-103.4489811,115450,user154
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2442,Hombre,22,Trabajador/a,MOVIMIENTO CIUDADANO,MORENA,,,20.4739164,-103.4490833,115451,user154
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2442,Mujer,35,Trabajador/a,MORENA,MOVIMIENTO CIUDADANO,,,20.4743103,-103.4498643,115452,user154
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2442,Hombre,35,Trabajador/a,Aún no decide,PAN,,,20.4723405,-103.4493327,115453,user154
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2442,Mujer,27,Desempleado,PARTIDO VERDE,MORENA,,,20.4712694,-103.4511479,115454,user154
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3469,Mujer,63,Cuidado del hogar,MORENA,PRI,,,20.516293,-103.394382,115455,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3469,Mujer,30,Trabajador/a,No contestó,MORENA,,,20.5165487,-103.3944811,115456,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3469,Mujer,52,Trabajador/a,MORENA,MOVIMIENTO CIUDADANO,,,20.5166833,-103.3944355,115457,user82
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3813,Hombre,53,Trabajador/a,MOVIMIENTO CIUDADANO,PARTIDO VERDE,,,20.4860578,-103.485091,115458,user149
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3813,Mujer,31,Trabajador/a,Ninguno,MORENA,,,20.4860367,-103.4855335,115459,user91
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3813,Hombre,35,Trabajador/a,MOVIMIENTO CIUDADANO,MORENA,,,20.485978,-103.4851598,115460,user91
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3469,Mujer,28,Cuidado del hogar,MORENA,PRI,,,20.5164249,-103.393455,115461,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3469,Hombre,41,Trabajador/a,PAN,MORENA,,,20.5164978,-103.3935075,115462,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3469,Mujer,41,Trabajador/a,MORENA,PRI,,,20.5166492,-103.3934872,115463,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3469,Hombre,41,Trabajador/a,PARTIDO VERDE,PAN,,,20.5169728,-103.3941447,115464,user83
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3813,Mujer,47,Trabajador/a,Aún no decide,PRI,,,20.4859154,-103.4843907,115465,user91
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3813,Mujer,32,Trabajador/a,Ninguno,PAN,,,20.4859673,-103.4850195,115466,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3813,Hombre,66,Jubilado/a – pensionado/a,MOVIMIENTO CIUDADANO,PRI,,,20.4858044,-103.4846152,115467,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3813,Hombre,71,Jubilado/a – pensionado/a,Aún no decide,MORENA,,,20.4858908,-103.4843771,115468,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3813,Mujer,30,Trabajador/a,Ninguno,PRI,,,20.488738,-103.4832371,115469,user140
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3813,Hombre,20,Trabajador/a,Ninguno,PRI,,,20.4860085,-103.4856884,115470,user140
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3813,Mujer,62,Trabajador/a,Ninguno,MORENA,,,20.4862629,-103.4854525,115471,user140
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3469,Mujer,32,Trabajador/a,PRI,PARTIDO DEL TRABAJO,,,20.5162908,-103.393995,115472,user193
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3469,Hombre,34,Trabajador/a,Ninguno,MORENA,,,20.5166325,-103.3940341,115473,user193
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3469,Hombre,66,Trabajador/a,MORENA,Ninguno,,,20.5168313,-103.3940244,115474,user193
EQUIPO 4,ZAPOPAN,3636,Mujer,60,Cuidado del hogar,PAN,PRI,PAN,MORENA,20.6261466,-103.4796199,115475,user161
EQUIPO 4,ZAPOPAN,3636,Hombre,47,Trabajador/a,PRI,MORENA,PRI,MORENA,20.6260571,-103.479429,115476,user161
EQUIPO 4,ZAPOPAN,3636,Hombre,38,Trabajador/a,MOVIMIENTO CIUDADANO,PRI,MOVIMIENTO CIUDADANO,PRI,20.6257878,-103.4796159,115477,user161
EQUIPO 4,ZAPOPAN,3636,Mujer,68,Jubilado/a – pensionado/a,Aún no decide,Aún no decide,Aún no decide,Aún no decide,20.6254241,-103.4804003,115478,user161
EQUIPO 4,ZAPOPAN,3636,Hombre,60,Trabajador/a,PRI,Aún no decide,PRI,Aún no decide,20.6261636,-103.4803118,115479,user136
EQUIPO 4,ZAPOPAN,3636,Mujer,55,Trabajador/a,MOVIMIENTO CIUDADANO,PRI,PRI,PRI,20.6254995,-103.4791804,115480,user98
EQUIPO 4,ZAPOPAN,3636,Hombre,31,Trabajador/a,MORENA,PRI,MORENA,PRI,20.6263952,-103.4801787,115481,user136
EQUIPO 4,ZAPOPAN,3636,Hombre,33,Trabajador/a,Aún no decide,PRI,Aún no decide,PRI,20.6260596,-103.4802256,115482,user186
EQUIPO 4,ZAPOPAN,3636,Mujer,49,Cuidado del hogar,Ninguno,MORENA,MOVIMIENTO CIUDADANO,MORENA,20.6257233,-103.4797939,115483,user98
EQUIPO 4,ZAPOPAN,3636,Mujer,36,Cuidado del hogar,PRI,MORENA,PRI,MORENA,20.6267074,-103.4809395,115484,user136
EQUIPO 4,ZAPOPAN,3636,Mujer,66,Trabajador/a,PRI,MORENA,PRI,MORENA,20.6258713,-103.4799099,115485,user98
EQUIPO 4,ZAPOPAN,3636,Hombre,67,Trabajador/a,PRI,MOVIMIENTO CIUDADANO,PRI,MOVIMIENTO CIUDADANO,20.6258384,-103.4803205,115486,user136
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3589,Mujer,41,Trabajador/a,Aún no decide,PRI,,,20.5204778,-103.4672747,115487,user191
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2442,Mujer,35,Trabajador/a,MORENA,PRI,,,20.521303,-103.4671945,115488,user154
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3589,Mujer,64,Cuidado del hogar,Aún no decide,PRI,,,20.5205624,-103.4677686,115489,user137
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3589,Mujer,32,Cuidado del hogar,MOVIMIENTO CIUDADANO,PRI,,,20.5208079,-103.4681256,115490,user137
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3589,Mujer,52,Cuidado del hogar,MOVIMIENTO CIUDADANO,PRI,,,20.5204887,-103.4674861,115491,user137
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3589,Mujer,62,Trabajador/a,MORENA,PRI,,,20.5208202,-103.4672365,115492,user66
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3589,Hombre,62,Trabajador/a,MORENA,MOVIMIENTO CIUDADANO,,,20.5208405,-103.4671208,115493,user154
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3589,Hombre,62,Jubilado/a – pensionado/a,MORENA,MOVIMIENTO CIUDADANO,,,20.5208613,-103.4672322,115494,user66
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3589,Mujer,52,Trabajador/a,Aún no decide,MOVIMIENTO CIUDADANO,,,20.5209456,-103.46692,115495,user154
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3589,Mujer,26,Trabajador/a,Ninguno,No contestó,,,20.5207071,-103.466671,115496,user154
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3589,Mujer,22,Cuidado del hogar,Aún no decide,MOVIMIENTO CIUDADANO,,,20.520841,-103.4669411,115497,user66
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3589,Hombre,70,Jubilado/a – pensionado/a,No contestó,MORENA,,,20.7450939,-103.419605,115498,user75
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3589,Mujer,25,Trabajador/a,MOVIMIENTO CIUDADANO,PARTIDO VERDE,,,20.7332076,-103.4291633,115499,user75
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3589,Mujer,27,Cuidado del hogar,MORENA,PRI,,,20.5204119,-103.4686263,115500,user75
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3811,Mujer,23,Trabajador/a,Ninguno,Ninguno,,,20.4992736,-103.4199571,115501,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3811,Mujer,19,Estudio y trabajo,MOVIMIENTO CIUDADANO,MORENA,,,20.4993314,-103.4201008,115502,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3811,Mujer,61,Cuidado del hogar,MORENA,PRI,,,20.4994108,-103.4197946,115503,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3811,Mujer,28,Trabajador/a,MORENA,PAN,,,20.4996992,-103.4184065,115504,user140
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3811,Mujer,45,Trabajador/a,PARTIDO VERDE,Ninguno,,,20.4987818,-103.4194079,115505,user140
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3811,Mujer,39,Cuidado del hogar,MOVIMIENTO CIUDADANO,PRI,,,20.4990717,-103.4192283,115506,user140
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3813,Mujer,34,Trabajador/a,Ninguno,Ninguno,,,20.485859,-103.4854487,115507,user144
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3813,Mujer,65,Cuidado del hogar,MORENA,MOVIMIENTO CIUDADANO,,,20.4859347,-103.4852401,115508,user144
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3813,Mujer,53,Cuidado del hogar,Aún no decide,MORENA,,,20.4859823,-103.4856098,115509,user144
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3811,Hombre,71,Jubilado/a – pensionado/a,MORENA,PRI,,,20.4996697,-103.4197623,115510,user144
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3811,Mujer,36,Cuidado del hogar,MOVIMIENTO CIUDADANO,PRI,,,20.499631,-103.420027,115511,user144
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3811,Hombre,46,Trabajador/a,Ninguno,Ninguno,,,20.4997005,-103.4196696,115512,user144
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3465,Mujer,20,Cuidado del hogar,MORENA,PRI,,,20.5287503,-103.3874799,115513,user193
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3465,Mujer,58,Desempleado,PAN,MORENA,,,20.528827,-103.3874664,115514,user193
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3465,Hombre,21,Trabajador/a,Aún no decide,Aún no decide,,,20.5288972,-103.3874981,115515,user193
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3465,Mujer,37,Trabajador/a,MOVIMIENTO CIUDADANO,PAN,,,20.517319,-103.3973871,115516,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3465,Mujer,70,Trabajador/a,MORENA,PRI,,,20.5297968,-103.3870461,115517,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3465,Hombre,72,Jubilado/a – pensionado/a,MORENA,PRI,,,20.5349575,-103.3993955,115518,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3465,Mujer,46,Cuidado del hogar,PARTIDO VERDE,PRI,,,20.5285168,-103.3874091,115519,user79
EQUIPO 4,ZAPOPAN,3153,Mujer,55,Cuidado del hogar,Aún no decide,Aún no decide,Aún no decide,Aún no decide,20.6350115,-103.469993,115520,user161
EQUIPO 4,ZAPOPAN,3153,Mujer,58,Cuidado del hogar,Aún no decide,Aún no decide,Aún no decide,Aún no decide,20.6227513,-103.4560629,115521,user161
EQUIPO 4,ZAPOPAN,3153,Hombre,19,Estudiante,PARTIDO DEL TRABAJO,PRI,PARTIDO VERDE,PRI,20.6334573,-103.4701957,115522,user161
EQUIPO 4,ZAPOPAN,3153,Mujer,29,Trabajador/a,PARTIDO DEL TRABAJO,MORENA,MORENA,PRI,20.633293,-103.4703162,115523,user161
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3465,Mujer,56,Cuidado del hogar,MOVIMIENTO CIUDADANO,MORENA,,,20.528643,-103.385087,115524,user79
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3465,Hombre,33,Trabajador/a,MORENA,PAN,,,20.5286693,-103.3853266,115525,user79
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3465,Mujer,60,Jubilado/a – pensionado/a,PRI,MORENA,,,20.5300653,-103.3858818,115526,user141
EQUIPO 4,ZAPOPAN,3153,Mujer,65,Cuidado del hogar,Ninguno,Ninguno,Ninguno,Ninguno,20.6227515,-103.4560624,115527,user98
EQUIPO 4,ZAPOPAN,3153,Mujer,65,Cuidado del hogar,MORENA,Ninguno,Ninguno,Ninguno,20.6337315,-103.4702748,115528,user98
EQUIPO 4,ZAPOPAN,3153,Mujer,61,Cuidado del hogar,Aún no decide,Aún no decide,Aún no decide,Aún no decide,20.6332619,-103.4702208,115529,user98
EQUIPO 4,ZAPOPAN,3153,Mujer,26,Trabajador/a,Ninguno,Ninguno,Ninguno,Ninguno,20.6333719,-103.4693253,115530,user98
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3811,Mujer,67,Cuidado del hogar,MOVIMIENTO CIUDADANO,PRI,,,20.4993288,-103.4183883,115531,user91
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3811,Mujer,69,Cuidado del hogar,MORENA,No contestó,,,20.4991329,-103.4195432,115532,user91
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3811,Mujer,51,Cuidado del hogar,PAN,Aún no decide,,,20.4989305,-103.4199291,115533,user91
EQUIPO 4,ZAPOPAN,3153,Mujer,29,Trabajador/a,Ninguno,Ninguno,Ninguno,Ninguno,20.6348465,-103.4699202,115534,user136
EQUIPO 4,ZAPOPAN,3153,Mujer,21,Cuidado del hogar,MORENA,PAN,MORENA,PAN,20.6335005,-103.469624,115535,user136
EQUIPO 4,ZAPOPAN,3153,Mujer,31,Trabajador/a,MORENA,PAN,PARTIDO VERDE,PRI,20.6333053,-103.4695702,115536,user136
EQUIPO 4,ZAPOPAN,3153,Mujer,24,Trabajador/a,MOVIMIENTO CIUDADANO,MORENA,MOVIMIENTO CIUDADANO,PAN,20.6327823,-103.468552,115537,user136
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3811,Mujer,49,Cuidado del hogar,MOVIMIENTO CIUDADANO,MORENA,,,20.5001972,-103.4194161,115538,user149
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3732,Mujer,48,Cuidado del hogar,MOVIMIENTO CIUDADANO,PRI,,,20.5508539,-103.4629614,115539,user137
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3732,Mujer,30,Cuidado del hogar,Aún no decide,MORENA,,,20.5508737,-103.463742,115540,user137
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3732,Hombre,61,Trabajador/a,MOVIMIENTO CIUDADANO,PRI,,,20.5510796,-103.4638227,115541,user137
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3732,Mujer,81,Jubilado/a – pensionado/a,MORENA,PRI,,,20.5511953,-103.4638295,115542,user75
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3732,Mujer,25,Trabajador/a,MOVIMIENTO CIUDADANO,PRI,,,20.5514197,-103.4637847,115543,user75
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3732,Mujer,57,Cuidado del hogar,MOVIMIENTO CIUDADANO,PAN,,,20.5520477,-103.4639273,115544,user75
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3732,Hombre,67,Trabajador/a,MOVIMIENTO CIUDADANO,MORENA,,,20.5512542,-103.4636118,115545,user66
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3732,Mujer,27,Estudio y trabajo,Ninguno,PRI,,,20.5497433,-103.4642274,115546,user66
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3732,Mujer,47,Cuidado del hogar,MOVIMIENTO CIUDADANO,MORENA,,,20.5507627,-103.4639601,115547,user154
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3732,Mujer,29,Cuidado del hogar,MORENA,Ninguno,,,20.5504143,-103.4641232,115548,user66
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3732,Mujer,32,Estudiante,Aún no decide,Aún no decide,,,20.5501949,-103.4641004,115549,user154
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,3732,Mujer,55,Cuidado del hogar,PRI,MORENA,,,20.5511828,-103.4635693,115550,user154
EQUIPO 4,ZAPOPAN,3547,Mujer,34,Cuidado del hogar,Ninguno,Ninguno,Ninguno,Ninguno,20.6353841,-103.4700695,115551,user98
EQUIPO 4,ZAPOPAN,3547,Mujer,55,Cuidado del hogar,Aún no decide,MORENA,Aún no decide,MORENA,20.6363714,-103.4697793,115552,user98
EQUIPO 4,ZAPOPAN,3547,Mujer,37,Trabajador/a,PARTIDO VERDE,PRI,PARTIDO VERDE,PRI,20.6365312,-103.4696787,115553,user98
EQUIPO 4,ZAPOPAN,3547,Hombre,63,Jubilado/a – pensionado/a,MORENA,PAN,MORENA,PARTIDO VERDE,20.6365,-103.4696061,115554,user98
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3464,Mujer,23,Trabajador/a,MOVIMIENTO CIUDADANO,PRI,,,20.5325491,-103.3845939,115555,user193
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3464,Mujer,45,Cuidado del hogar,Aún no decide,MORENA,,,20.5315631,-103.3834621,115556,user193
