Equipo,Municipio,Sección,Sexo,Edad,Ocupación,"31. Si el día de hoy fueran las elecciones para elegir la presidencia municipal, ¿por cuál de los siguientes partidos votaría?","32. Si el día de hoy fueran las elecciones para elegir la presidencia municipal, ¿por cuál de los siguientes partidos NUNCA votaría?","33. Si el día de hoy fueran las elecciones para elegir la diputación por el distrito 12, ¿por cuál de los siguientes partidos votaría?","34. Si el día de hoy fueran las elecciones para elegir la diputación por el distrito 12, ¿por cuál de los siguientes partidos NUNCA votaría?",_Capturar ubicación GPS_latitude,_Capturar ubicación GPS_longitude,_id,_submitted_by
EQUIPO 1,ZAPOPAN,3208,Mujer,75,Cuidado del hogar,Aún no decide,Aún no decide,Aún no decide,Aún no decide,20.6143027,-103.4307959,115690,user154
EQUIPO 1,ZAPOPAN,3208,Mujer,44,Trabajador/a,MOVIMIENTO CIUDADANO,PRI,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,20.6142785,-103.4307769,115691,user154
EQUIPO 1,ZAPOPAN,3208,Mujer,46,Trabajador/a,MOVIMIENTO CIUDADANO,PRI,Ninguno,Aún no decide,20.6143466,-103.4307911,115692,user154
EQUIPO 1,ZAPOPAN,3208,Mujer,19,Estudiante,Aún no decide,PRI,Aún no decide,Aún no decide,20.6143862,-103.4307478,115693,user154
EQUIPO 1,ZAPOPAN,3208,Mujer,22,Cuidado del hogar,Aún no decide,Aún no decide,No contestó,No contestó,20.6143973,-103.4307305,115694,user154
EQUIPO 1,ZAPOPAN,3208,Hombre,68,Jubilado/a – pensionado/a,MORENA,PRI,MORENA,MORENA,20.6140494,-103.4296544,115695,user154
EQUIPO 1,ZAPOPAN,3209,Mujer,31,Trabajador/a,MOVIMIENTO CIUDADANO,MORENA,MORENA,Aún no decide,20.6176028,-103.4362609,115696,user154
EQUIPO 1,ZAPOPAN,3209,Mujer,39,Trabajador/a,PRI,Ninguno,Ninguno,Ninguno,20.617621,-103.436257,115697,user154
EQUIPO 1,ZAPOPAN,3209,Hombre,23,Trabajador/a,Aún no decide,Aún no decide,Aún no decide,Aún no decide,20.6175814,-103.436289,115698,user154
EQUIPO 1,ZAPOPAN,3222,Mujer,36,Cuidado del hogar,Ninguno,Ninguno,Ninguno,Ninguno,20.6131492,-103.4325725,115699,user154
EQUIPO 1,ZAPOPAN,3207,Mujer,69,Cuidado del hogar,MORENA,PRI,MORENA,PAN,20.6147472,-103.431212,115700,user154
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Hombre,73,Desempleado,MORENA,PRI,,,20.6147339,-103.4310981,115701,user154
EQUIPO 1,ZAPOPAN,3208,Hombre,46,Trabajador/a,MORENA,PRI,MOVIMIENTO CIUDADANO,PAN,20.6170299,-103.4360886,115702,user154
EQUIPO 1,ZAPOPAN,3209,Mujer,32,Cuidado del hogar,PRI,PAN,MOVIMIENTO CIUDADANO,PRI,20.6175537,-103.4362658,115703,user75
EQUIPO 1,ZAPOPAN,3209,Mujer,41,Trabajador/a,MORENA,PRI,PARTIDO VERDE,PRI,20.617311,-103.4363488,115704,user75
EQUIPO 1,ZAPOPAN,3209,Mujer,65,Cuidado del hogar,MORENA,PRI,MOVIMIENTO CIUDADANO,PRI,20.6171749,-103.4363511,115705,user75
EQUIPO 1,ZAPOPAN,3209,Mujer,67,Jubilado/a – pensionado/a,Aún no decide,MORENA,PARTIDO VERDE,PAN,20.6161003,-103.4321763,115706,user66
EQUIPO 1,ZAPOPAN,3222,Hombre,25,Trabajador/a,MORENA,PRI,MOVIMIENTO CIUDADANO,PRI,20.6158583,-103.4321642,115707,user66
EQUIPO 1,ZAPOPAN,3208,Hombre,47,Trabajador/a,Ninguno,Ninguno,Ninguno,Ninguno,20.6144889,-103.4307459,115708,user66
EQUIPO 1,ZAPOPAN,3208,Hombre,47,Trabajador/a,MORENA,MOVIMIENTO CIUDADANO,MORENA,MOVIMIENTO CIUDADANO,20.614309,-103.4308161,115709,user66
EQUIPO 1,ZAPOPAN,3208,Mujer,23,Cuidado del hogar,MORENA,PAN,MORENA,PRI,20.6140541,-103.4295847,115710,user66
EQUIPO 1,ZAPOPAN,3209,Mujer,61,Trabajador/a,MORENA,PRI,MORENA,PARTIDO VERDE,20.6180032,-103.4363963,115711,user66
